Stranica,Tekst
I,"<p>ILIRSKOGA JEZIKA</p><p>SASTAVIO</p><p>OTAC</p><p>FRANO MARIJA APPENDINI</p><p>PROFESOR GOVORNIŠTVA</p><p>PIJARISTIČKIH ŠKOLA</p><p>U DUBROVAČKOME KOLEGIJU</p><p>-------------------------------------------------</p><p>D U B R O V N I K</p><p>MDCCCVIII</p><p>-------------------------------------------------</p><p>ANTONIO MARTECCHINI</p><p>S DOPUŠTENJEM NADREĐENIH</p><p>Već je nešto stići i do određene točke, 
  kad nam dalje od toga dano nije.</p><p>Hor. Ep. I, 1, 32</p>"
III,"<p>NJEGOVOJ PREUZVIŠENOSTI</p><p>AUGUSTU MARMONTU</p><p>VOJVODI OD DUBROVNIKA</p><p>VRHOVNOMU ZAPOVJEDNIKU</p><p>FRANCUSKE ARMIJE U DALMACIJI I ALBANIJI</p><p>GENERALNOMU PUKOVNIKU KONJIĆKIH LOVACA</p><p>DRŽAVNOMU SAVJETNIKU</p><p>VELIKOMU ORLU LEGIJE ČASTI</p><p>KOMANDORU KRALJEVSKOGA REDA ŽELJEZNE KRUNE</p><p>VITEZU VELIKOGA KRIŽA KRALJEVSKOGA REDA OD WÜRTEMBERGHA ITD.</p><p>Preuzvišeni,</p><p>ilirsku gramatiku što se objelodanjuje urešena Vašim imenom nije mogla zateći bolja sudbina. Ako sam već od trenutka u kojemu ste se udostojili pristati da Vam bude posvećena imao razloga biti polaskan što ćete je primiti s dobrotom svojstvenom Vašemu velikom srcu, danas moje nade istom mjerom jačaju zbog novih odnosa i dragocjenih spona koje Vas združuju sa stanovnicima Dubrovnika.</p>"
IV,"<p>Vaše vojničke i političke vrline te znatne usluge ukazane Francuskomu Carstvu zasluženo su privukle pozornost najmoćnijega vladara, čuda svih vremena, besmrtnoga Napoleona Velikoga. On Vas je imenovao vojvodom od Dubrovnika i tim je sjajnim odlikovanjem ovjekovječio za nas ovu plemenitu i velikodušnu zaštitu što je već dvije godine očitujete na tolike moćne načine u korist Dalmacije i Ilirije i svih onih pojedinaca koji je putom umjetnosti i znanosti žele pokazati.</p><p>Znam da moje djelo nema nijednu od vrijednosti koje bi mogle privući pozornost mudroga i hrabroga vojskovođe. U njemu se suhoparnim i jednoličnim stilom raspravlja o gramatičkim osnovama što su i same po sebi sterilne i dosadne. Ali, isto tako znam kako ste skloni suditi o stvarima po njihovim bitnim i stvarnim vrijednostima. Poznavanje ilirskoga jezika koji više nije stran Vašemu uhu, u ovim je vremenima korisno i možda potrebno za mnoge isprave i izvještaje, a knjiga kojoj je cilj obgrliti njegova pravila i predstaviti ih drugim narodima možda i nije sasvim nedostojna pozornosti Onoga koji zapovijeda hrabrim i vjernim narodima što taj jezik govore duž Jadrana. Takvo ugodno uvjerenje ublažuje mi strah od neuspjeha ovoga mojeg skromnog rada, donosi mi spoznaju o Vašoj Preuzvišenosti</p>"
V,"<p>kao dobrohotnomu meceni što s vrlinama ratnika savršeno združuje kreposti i ljubav prema dobrim naukama.</p><p>No, zašto ovom prigodom utjelovljujem ponizan lik gramatičara radije nego povjesničara? U svojim ste se najboljim mladim godinama, rekao bih, ukrašeni tako plemenitom osobnošću, zatekli uzbok neumorna junaka, među njemu dostojnim suborcima na obalama rijeka Mincio i Nil, na poljanama Marenga i na obalama Dunava. Rekao bih kako ste na čelu moćne armije umjeli zadobiti opće poštovanje naroda Holandije.1 Rekao bih kako se Dalmato-Iliri, koje ste neustrašivo obranili od njihovih moćnih neprijatelja kod Herceg Novoga, u Pokrajini Poljica i okolici Makarske, puni zahvalnosti i ljubavi također spominju, smatrajući ih novim izvorima blagostanja, javne ceste što ste ih otpočeli između provalija i gudura i koje su sad već sretno privedene kraju, zatim nove ukrase nadodane Splitu, Saloni našega vremena, i mnoge boljitke priuštene Trogiru i drugim mjestima. Sve će to našemu dalekom potomstvu biti svjedočanstvom Vašega živog mara da usrećite stanovništvo Dalmacije. Osim toga, rekao bih da postoje i mnoge druge priče o Vašim hvalevrjednim potezima. S obzirom na to da sâm ne mogu težiti tolikomu pothvatu, smatrat ću se priličnim sretnikom ako, nakon što sam osobno pokrenuo i trud uložio, a sve u cilju</p>"
VI,"<p>javnosti dostupnoga poučavanja mladih, uspijem potaknuti na usvajanje ilirskoga jezika te doprinesem tomu da pothvati Velikoga Napoleona jednoga dana budu dostojno slavljeni na ovome istom jeziku, kao što je to slučaj sa svim drugim jezicima. Na isti način neka se proslavi i naša zahvalnost Vama i Vašim vrlinama.</p><p>Čast mi je biti vječno haran i gajiti duboko poštovanje prema</p><p>Vašoj Preuzvišenosti</p><p>najodaniji i najzahvalniji sluga</p><p>Frano Marija Appendini,</p><p>redovni klerik Pijarističkih škola.</p>"
VII,"<p>Proslov</p><p>Učenim zaljubljenicima u jezike</p><p>Nema dvojbe da je ilirski jezik, s bilo kojega gledišta ga promatrali, jedan od najzanimljivijih jezika na svijetu. Njegovi korijeni sežu u najraniju starinu. Jafet ga je, odmah nakon poplave, proširio po prostranim regijama preko kojih je prolazila rijeka Istros (danas Dunav2) poslije poznatih pod imenom Velika Trakija. Prve su kolonije, bolje rečeno – narodnosti, ovoga jezika bili upravo Tračani, oni koji su u Frigiji utemeljili kraljevstvo Troje te zavladali i cijelom Malom Azijom; trački Makedonci, što su ugrabili Grčku zajedno s otocima; trački Iliri, koji su, s jedne strane prešavši Jadran stigli do Lacija, a s druge do podnožja Alpa i na obale Ligurskoga mora; trački Dačani i trački Geti što su na rodnoj grudi utjerali nacionalni strah; trački Skiti, zbog kojih se tresao Egipat, i trački Sarmati, što su pod imenom Skita i Kelta ili Kelto-Skita, Kelto-Ibera i Kelto-Gala napučili svojim ljudima zapadnu i sjevernu Europu. Jednako su tako kolonije, ili bolje rečeno narodni toga istoga jezika, bili i Goti, Vizingoti, Huni, Gepidi, Gaudi, Markomani, Vandali, Avari, Longobardi i Slaveni, koji su nekoliko stoljeća nakon Kristova dolaska na ruševinama Rimskoga carstva utemeljili moderna europska kraljevstva</p>"
VIII,"<p>(vidi našu uvodnu studiju u Ilirsko-talijanskome rječniku presvijetloga Joakima Stullija naslovljenu De praesentia et vetustate linguae Illyricae, ejusque neccesitate ad plurimarum gentium, populorumque origines et antiquitates rite investigandas.</p><p>Začuđujuća je trenutačna rasprostranjenost ilirskoga jezika, a tumači se kao odraz njegove drevne rasprostranjenosti. Danas ga govori šesdeset naroda ili nacija. Tko bi imao najbolji njegov dijalekt mogao bi bez prevoditelja od makedonske granice stići do obala Baltičkoga mora, odakle bi se mogao probiti i do središta Kine.</p><p>Nema jezika kao što je to ilirski u kojemu bi učeni jezikoznanac mogao s više svrhovitosti i zadovoljstva iskušavati svoj dar. S obzirom na to da na više razina vuče analogiju s hebrejskim, grčkim i latinskim, a posuđuje leksik svim modernim jezicima, te s obzirom na to da je u najstarija vremena dao zemljopisna imena velikomu dijelu Azije, jezikoznanac na svakome koraku doživi otkriće koje raspršuje iluzije što su ih Grci i Latini gajili kako će uzdići sebe oskvrnjujući druge, te baca izvrsno svjetlo na pravo podrijetlo i starost europskih naroda i nacija.</p><p>Ilirski jezik ima sve značajke koje su cijenjene u materinskim jezima. Daje mogućnost za istančanost prozodijskih naglasaka i njihovo skladno i spretno prenošenje što su već primijetili stručnjaci koji se bave mnogim današnjim europskim jezicima, a tako i Arteaga. Nadalje, ilirski jezik razlikuje padeže samo s pomoću fleksije <term corresp=""#imenica"">imenica</term>, bez pomoći članova, koji su osnovno sredstvo u modernim jezicima,</p>"
IX,"<p>te mu se pripisuju svi oni izrazi i fraze koje diskursu omogućuju nijansiranje različitih stupnjeva ljudske srčanosti. Pokazali smo to već u našoj knjizi Notizie istorico-critiche sulle Antichita, Storia e Letteratura dei Ragusei. Ova će gramatika biti dodatan, još izravniji, dokaz svega spomenutoga, jer uspostavlja usporedbu između ilirskoga, grčkoga i latinskoga idioma.</p><p>Među primarnim dijalektima3 ovoga jezika posebnu pozornost privlače ruski, poljski, češki i ilirski. Sjeverni su dijalekti u zadnje vrijeme imali zasluga na književnome području pa su, osnaženi darežljivošću vladara i spremnošću pokrovitelja, izradili dobre rječnike i gramatike. Poseban je spomen zaslužila gramatika poljskoga jezika koju je izdao slavni Otac Konarski i sam pripadnik pijarističke Milosrdne škole, kao i filozofska načela i opća pravila koji bi mogli poslužiti i za svaki drugi slavenski dijalekt. Usprkos žurnim aktivnostima, nismo je uspjeli nabaviti iz tako daleka kraja.</p><p>Ilirski dijalekt, ili dalmato-bosanski, najsavršeniji je od svih.4 Još uvijek čuva svoju izvornu čistoću i jednostavnost u tolikoj mjeri da njegove govornike razumiju govornici svih srodnih dijalekata. Naprotiv, Ruse, Poljake i Čehe, dijelom zbog drukčija izgovora, dijelom zbog toga što svaki od tih dijalekata međusobno ima različit dio vokabulara te mnoge riječi preuzima iz stranih jezika, Dalmatinci i Iliri ne razumiju lako. Općenito govoreći, književni izgovor sjevernih jezika odgovara razgovornomu izgovoru dalmato-ilirskoga dijalekta.</p>"
X,"<p>Stoga nema ničega vjernijega i jednostavnijega, ozbiljnijega i veličanstvenijega od ilirske inačice Svetoga pisma, misala, brevijara, Rituala rimskoga i drugih liturgijskih knjiga, na kojima se i danas u nekim dalmatinskim mjestima slave sveta otajstva religije.</p><p>Nakon književne renesanse među Dalmato-Ilirima odmah se našlo onih koji su, skrbeći o vlastitu narodnome jeziku, drevnomu nacionalnom pjesništvu podali novi oblik, toliko ljubak i lijep da se u svakome smislu mogao uspoređivati s najkulturnijim drevnim i suvremenim nacijama. Dubrovnik5 se time podičio prvi, a ubrzo su ga slijedili i drugi dalmatinski gradovi. Govorimo li o bogatstvu nacionalnoga pjesništva od početka petnaestoga do polovice prošloga stoljeća, Dubrovčani su, kad bi sve napisano ugledalo svjetlo dana, dosegnuli količinu od trideset nemalih svezaka kojima se ne bi moglo zamjeriti poetsko bogatstvo. Osman (1), epska poema napisana prije Miltonova Izgubljena raja i Voltaireove Henrijade, ponešto ozbiljnih, šaljivih i satiričnih poemica, mnoge pastoralno-idilične ekloge, nekoliko tragedija i velik broj raznovrsnih pjesama različitih rima, četiri najljepše grčke tragedije, Aminta, Vjerni pastir, Maffeijeva Merope, mnoge Metastasieve drame te najljepše Molirèove i Goldonijeve komedije prilagođene na ilirski jezik trebale bi oteti zaboravu imena obitelji Držić, Menčetić, Vetranović, Demitrić, Ćubranović, Nalić, Bonić, Mažibradić, Lukarić, Ranjina, Zlatarić, Gundulić, Palmotić, Đurđević, Betondić, Tudezić i Sorkočević te ukazati na to da ta neobjavljena djela, pogotovo po pitanju jezičnih zasluga,</p>"
XI,"<p>ne zaostaju za mnogim objavljenim nacionalnim djelima što su već naveliko opravdano proslavljena. No, dok su ovi slavni labudovi ilirskoga Parnasa s obala mladoga Epidaura širili zvuk citre u svim vrstama poezije, Hektorovići, Marulići, Kašići, Kanavelići, Đurđićevići, Barakovići, Zoranići, Ivaniševići, Vitalići i drugi iz raznih dalmatinskih gradova i otoka, bijahu njihova jeka što je sve više obogaćivala jezik svoje zemlje.</p><p>O ilirskome dijalektu valja mnogo govoriti i zbog niza rječnika kojima se može podičiti. Pritom ne govorim o Jambrešićevu Latinsko-ilirskome rječniku ili o Belostenčevu latinsko-ilirskome Gazofilaciju jer su oni prigodniji za kranjske Hrvate nego za Ilire u širemu smislu. Treba svakako podsjetiti na rječnik koji zadovoljava učene ljude, ali lako doseže i do naroda te je manje voluminozan od Mikaljina, a to je Della Bellin Talijansko-ilirski rječnik kojemu nedostaju mnoge riječi, ali je izvrsno zamišljen i izrađen, zatim lijepi džepni Ilirsko-talijansko-njemački rječnik gospodina Josipa Voltića, od kojega zaljubljenici u domaće i arhaične elemente očekuju zanimljivo djelo o starini ilirskoga jezika, napokon i veliki Latinsko-talijansko-ilirski i talijansko-ilirsko-latinski rječnik fra Joakima Stullija. Taj će ugledni danas već osamdesetogodišnji čovjek, koji je čitav svoj život proveo izrađujući spomenuti rječnik, imati zadovoljstvo vidjeti kako u njegovu Dubrovniku izlazi zadnji, nedvojbeno najzanimljiviji i najpotrebniji dio njegova trodijelna rječnika čija su prva dva dijela u kratkome razdoblju izišla u Budvi pa u Dubrovniku, pod pokroviteljstvom i uz dobročinstvo glavnoga generala vojvode Marmonta. Taj trostruki rječnik koji, zbijen u šest opsežnih svezaka,</p>"
