Stranica,Tekst
1,"<p>NA VEĆU SLAVU BOŽJU</p><p>OSNOVE</p><p>ILIRSKOGA JEZIKA</p><p>U DVIJE KNJIGE</p><p>Autor</p><p>BARTOL KAŠIĆ</p><p>Pažanin Družbe</p><p>Isusove</p><p>PRVO IZDANJE</p><p>U RIMU, kod Alojzija Zannettija</p><p>1604.</p><p>S dopuštenjem poglavara</p>"
2,"<p>ODOBRENJE</p><p>Mi, fra Augustin Kvinčić Splićanin, reda propovjednika, milošću Božjom i Apostolske Stolice biskup korčulanski vidjeli smo i pomno pregledali ova gramatička pravila u našem materinskom ilirskom jeziku koja je sastavio velečasni otac Bartol Kašić Pažanin. Koliko mi možemo prosuditi, ona ne sadržavaju ništa što bi bilo suprotno katoličkom nauku i ćudoređu.</p><p>U vjeru toga, itd. U župnoj crkvi Svetoga Nikole na Marsovu polju dana 2. Travnja 1604.</p><p>Isti fra Augustin biskup kao i gore</p><p>Neka se tiska, ako se sviđa velečasnom ocu učitelju Svete Palače.</p><p>B. Gipsije, zamjenik</p><p>Neka se tiska.</p><p>Fra Ivan Maria Brasicchelli, učitelj Svete Palače Apostolske</p>"
3,"<p>ONIMA KOJI UČE ILIRSKI JEZIK</p><p>Osnove ilirskoga jezika, koje su mnogi priželjkivali, ako i manje savršene u svim dijelovima, dovršio sam prema svojim snagama, doista s veseljem i predanošću, možda samo u prevelikoj žurbi.</p><p>Nije se, naime, dosada pojavio nitko (koliko znam) koga bih kao pisca mogao slijediti i čija bi se pravila o ilirskome govoru pojavila u pisanom obliku. I ne bih se bio mogao odlučiti da se kao prvi prihvatim toga posla da nije bilo utjecaja onih čijoj se volji nije dopušteno protiviti. A s kojom su namjerom oni odredili da odabrani pojedinci iz naše Družbe svoj znanstveni rad i trud usmjere k učenju ovoga jezika</p>"
4,"<p>te da se napišu kakve osnove toga jezika kako bi im se olakšalo učenje, lako će, mislim, razumjeti onaj kojemu je poznato u kakvu se položaju kod Ilira u ovo vrijeme nalazi kršćanstvo. Naime, ili zbog dugotrajnoga i nesretnoga druženja s neprijateljima katoličke vjere ili zbog velike oskudice učenih i čestitih pastira, nebrojeni leže gotovo u takvoj tmini neznanja (da prešutim ostala zla koja se iz neznanja rađaju) da većini od njih nisu dovoljno poznate ni prve osnove kršćanske vjere. Stoga su starješine naše Družbe mudro odlučili da ih oni koji se smatraju najsposobnijima da podučavaju nauče materinski jezik onoga naroda čiji je jezik najprošireniji kod većine pučanstva. Činilo se, naime, da to ne odgovara dovoljno namjerama naše Ustanove jer se mnogi</p>"
5,"<p>od naših ljudi neprestano šalju u najudaljenije krajeve Istoka i Zapada. Oni se muče učeći različite dijalekte onih naroda koji nikada prije nisu bili poučeni kršćanskim zakonima da bi s njima lakše mogli raspravljati o blaženome životu. A zanemaruju se drugi narodi u bliskom susjedstvu koji, zadržavajući ime kršćanske i djedovske vjere, jedino zbog toga što ne znaju što im je učiti i činiti, gube dostojanstvo i ugled svojih predaka poput zapuštena drveća koje polako zarastajući postaje neplodno. Stoga sam, koliko je dopustilo ograničeno vrijeme, pokušao skupiti pravila ovoga jezika o osam dijelova iskaza i obraditi ih nekom određenom metodom i načelom da bi oni koji ga žele naučiti lakše i brže mogli stići do cilja. A ako se komu možda ovakve Osnove</p>"
6,"<p>čine predugima, njega molim da zbog toga ne zastane na započetom putu. Naime, mnogo je toga izloženo više radi preglednosti, a većina je toga slična ostalomu te ne donosi gotovo nikakvu novu teškoću za učenje. Doista se nadam da će mnogi uz pomoć ovih Osnova, kakve god da one jesu, ako se potrude u učenju ovoga jezika jednakom marljivošću kao što to običavaju u učenju latinskoga i grčkoga jezika, za kratko vrijeme postići ne manji napredak.</p><p>A što sam o konstrukciji iskaza, kako to nazivaju, samo nešto malo, i to općenito iznio, tome se neće s pravom čuditi nitko tko se sjeća da je ono što je preostalo ili zajedničko s onim jezicima koje znaju, ili se bolje obuhvaća uporabom i vježbom nego pravilima nauka, ili se sve zajedno ne može lako svesti u sustav.</p><p>Zdravi bili. U Rimu, 17. travnja 1604.</p>"
7,"<p>OSNOVE ILIRSKOGA JEZIKA</p><p>KNJIGA PRVA</p><p>O SLOVIMA, IMENU I ZAMJENICI</p><p>PRVI DIO</p><p>O SLOVIMA</p><p>Budući da su slova, njihovi oblici, imena i zvuk temelj cjelokupnoga govorenja i pisanja, s pravom treba o njima govoriti na prvom mjestu da bi se lako mogao uočiti njihov oblik, razlikovnost i izgovor. Primijetio sam, naime, da u spisima ljudi mojega naroda nedovoljno ujednačena raznolikost slova stvara čitateljima nevjerojatnu teškoću.</p><p>Kako je zadaća i dužnost slova čuvati i štititi riječi i omogućiti da se one izgovaraju s potpunim zvukom, pobrinut ću se pomno da, uklonivši suvišna,</p>"
8,"<p>u abecedu skupim ona slova koja su nužna za izgovor i koja se oblikom i zvukom što manje razlikuju od latinskih slova.</p><p>Izložit ću stoga ovdje veliki i mali oblik slova, zatim ću ih podijeliti u zasebna poglavlja. Tada ću objasniti što je akcent, apostrof, slog i riječ. Naposljetku će biti potrebno dodati nešto o članu i dijalektu.</p><p>ABECEDA</p><p>Aa, Bb, Cc, Çç, Dd, Ee, Ff, Gg, Hh, Ii, Kk, Ll, Mm, Nn, Oo, Pp, Qq, Rr, Ss, Tt, Vu, Vv, Xx, Yy, Zz,</p><p>O SAMOGLASNICIMA I</p><p>DVOGLASIMA</p><p>Poglavlje I.</p><p>Samoglasnici su isti u nas i u Latinâ: a, e, i, o, u. U njihovu izgovoru nema ništa različitoga od njihova zvuka u latinskom jeziku što bi trebalo spomenuti.</p><p>2. Dvoglasa ima sedam: aa, ee, ie, ii, oo, uu i ae. Prvih šest pisci rabe radi veće izražajnosti. AE će služiti za razlikovanje imena ženskoga roda od onih muškoga roda.</p>"
9,"<p>Neki čine istu stvar udvajanjem suglasnika, što se nikomu ne treba činiti nečim novim jer to isto čine i Latini i Grci.</p><p>Od naših riječi zasada će biti dovoljno pokazati ove: mukka, tormentum i mûka, farina.</p><p>3. aa daje dugo a kao u vlastélaa, nobilium,</p><p>ee daje dugo e kao u xenee [ženē], mulieris,</p><p>ae daje e koje će se često rabiti umjesto ee osobito na kraju riječi,</p><p>ie daje i i e, polusamoglasnike, kao u tieh [tijeh], istorum,</p><p>ij daje dugo i kao u lovij [lovī], uenatur,</p><p>oo daje dugo o kao u plood, fructus,</p><p>uu daje dugo u kao u muux [muž], uir.</p><p>O SLOVIMA ZA JEDNOSTAVNE</p><p>SUGLASNIKE</p><p>1. Suglasnika ima dvadeset: be, ce, çi, de, ef, ga, he, ka, el, em, en, pe, qvu, er, es, te, vi, xi, yi, zi.</p><p>2. Među njima b, d, l, m, n, p, r, t nemaju nikakvu raznolikost u zvuku koja ne bi bila zajednička i nama i Latinima. Izgovor ostalih pak treba pojedinačno izložiti.</p>"
10,"<p>O slovu Cc /č/</p><p>Cc se ispred ili iza samoglasnika i suglasnika, izuzevši h, izgovara kao u Latina ispred samoglasnika e i i kao dicet, dicit. Tako i u nas rècce [reče], dixit, ríci [riči], uerba, Béc [Beč], Uienna nomen urbis, clovìk [človik], homo, clán [član], articulus.</p><p>O slouu Çç /c/</p><p>Çç se ispred ili iza samoglasnika i suglasnika izgovara kao u Latina slovo t u ovim riječima: etiam, sapientia i kao u Talijana z u ovim riječima: zoppo, zuccaro, a tako i u nas Çésar [cesar], Caesar, çîlo [cilo], integrum, çvît [cvit], flos.</p><p>O slovu Ff</p><p>Ff se izgovara blaže, ako ispred sebe ima suglasnik kao sféti [sveti], sanctus.</p><p>O slovu Gg</p><p>Gg se ispred i iza samoglasnika i suglasnika, osim ako slijedi polusamoglasnik i, izgovara kao u Latina ispred a, o, u u ovim primjerima: garrulus, lego, gula i kao u Talijana gh u leghe, salghino. Tako i u nas garmii [grmi], tonat;</p>"
