Stranica,Tekst
1,<p>Uvod u nauk o horvatskome jeziku za Nijemce</p>
2,"<p>Ni jedan od europskih jezika nema toliko različitih i rasprostranjenih narječja kao ilirski ili slavenski: Rusi, Poljaci, Česi, Bugari imaju gotovo iste korijenske riječi i nazive, a ipak njihovi jezici nisu isti kao što to nisu ni talijanski, francuski i španjolski koji također potječu od istoga jezika pretka, naime latinskoga.</p><p>Mi smo prvi koji smo se usudili jezik koji zapravo nazivaju horvatskim opisati čvrstim pravilima i stvoriti temelje cjelovitoga nauka narječja uobičajenoga u Zagrebačkoj, Križevačkoj i Varaždinskoj županiji</p>"
3,"<p>i pokrajinama koje graniče s njima, namijenjene strancima željnima učenja.</p><p>Ovoga se pokušaja laćamo ne bismo li potaknuli slavevrijednu revnost istaknutih muževa – čija su imena ipak preuzvišena za tako skromno djelce – da i u budućnosti podupiru takve općekorisne zamisli i da bismo im pokazali svoju spremnost i revnost time što smo se marljivo odazvali migu koji su nam dali.</p><p>Kako pretpostavljamo da naši čitatelji i tako već imaju neke spoznaje o metajeziku njemačkih gramatika, u to nećemo ulaziti kako ne bismo prekoračili tako omiljenu kratkoću.</p><p>Varaždin, 20. svibnja 1783.</p>"
4,"<p>Prvi dio</p><p>O uporabi i izgovoru slova</p><p>Horvati se danas služe latiničnim slovima od kojih su, međutim, samo sljedeća u uporabi: a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, y, z. Slova q i x u ovome su jeziku, barem zasada, posve nepoznata.</p>"
5,"<p>No kako horvatski jezik ima posebne zvukove koje se nije moglo izraziti s pomoću ostalih uobičajenih slova, sveti Ćiril i Metod, koji su za ilirske i slavenske narode uveli novi način pisanja, povećali su broj slova kako bi svaki glas izrazili vlastitim znakom.</p><p>Nakon prihvaćanja latinične grafije moralo se, dakle, napuštanje tih novouvedenih slova nadomjestiti slaganjem glasova: dva suglasnika sada čine novi, jednostavni glas. To su:</p><p>današnja grafija stara ilirska imena njemački izgovor</p><p>Ch ili ty Ⱍ cherv Tschrt</p><p>Cz Ⱌ Czi Ci</p><p>Dy ili gy ⰄⰣ Gyero Dschrt</p><p>ly Ⰾ ly lji</p><p>ny Ⱀ ny nji</p><p>Ss ili sh ⰞⰣ Sſaj schai</p><p>Sz Ⱄ szlovo slowo</p><p>Sva gore navedena latinična slova Horvati najčešće izgovaraju posve obično i ne drukčije nego Nijemci, no ipak ćemo posebno napomenuti</p>"
6,"<p>koja se moraju izgovarati drukčije nego u njemačkome:</p><p>B se izgovara nešto blaže nego što je uobičajeno u Nijemaca.</p><p>C Horvati rabe samo ispred suglasnika h, s, z, a onda se izgovara na sljedeći način:</p><p>Ch ili cs zvuči kao njemačko tsch, npr. korbach ili korbacs izgovara se korbatsch.</p><p>Cz je njemačko z, npr. czukor se izgovara zukor.</p><p>D zadržava svoj njemački zvuk osim ako stoji ispred y. Onda se izgovara kao dsch, no ipak tako da se iza dsch malo čuje j, gotovo kao talijanski gi u riječi giungere; npr. rodyen, geboren, čitam rodschjen.</p><p>E u Horvata ima tri zvuka:</p><p>1. Zvuči kao obično njemačko e; npr. vedro, heiter, čitaj wedro.</p><p>2. Kada é ima oštri naglasak, izgovara se gotovo kao njemačko ö ili zvuči više kao prvo e u riječima Ebenholz, Esel; npr. védro, čitaj wödro.</p><p>3. No ukoliko e stoji ispred r i još jednoga suglasnika, tada zvuči vrlo tiho i gotovo ga se u potpunosti guta:</p>"
7,"<p>npr. berza szmert, geschwinder Tod, izgovara se brza smrt. Ta se stopljenost uvijek javlja, čak i kada je ê označeno ovim akcenatskim znakom, naime, kao što neki običavaju pisati bêrza Szmêrt.</p><p>G ima njemački zvuk. Samo kada iza njega stoji y, izgovara se isto kao gore spomenuto dy, naime kao dsch s malim j iza sebe; npr. gyungy, Perle, čitaj dschundschji.</p><p>Napomena</p><p>Pri izgovoru tih horvatskih dy i gy kao dsch (koji je Nijemcima posve nepoznat) uglavnom se mora paziti na to da je puno blaži od onoga ch, tsch. Najsigurniji je položaj pri izgovaranju dy i gy, dsch, da jezik vrlo lagano dotakne nepce, dok pri izgovaranju ch, tsch, snažno mora udariti o njega.</p><p>H se u Horvata uvijek izgovara kao pravi suglasnik te se na početku riječi uvijek izgovara s jakim dahom, a na kraju iste ili ispred kojega drugoga suglasnika izgovara se kao njemačko ch (kao što zvuči u riječima machen, mich); npr. herczeg, Herzog, čitaj herzeg; hren, Kren, čitaj chren; greh, Sünde, čitaj grech. No horvatsko h nikada ne zvuči kao g ili k.</p>"
8,"<p>L ima njemački zvuk: samo kada iza njega stoji y, to se ly mora čitati kao lji, gotovo kao talijansko gli, dakle tako da se iza l malo čuje j; npr. szablya, Sabel, čitaj sablja.</p><p>Isto valja napomenuti i za N, a ny se uvijek izgovara kao nji.</p><p>S se izgovara na tri različita načina:</p><p>1. s ispred z ili sz izgovara se kao njemačko oštro s, ß; npr. Szava, der Saufluß, čitaj ßawa.</p><p>2. s ispred h, ch, k, p, t kao i ispred drugoga s (ili s’ s oštrim naglaskom na početku riječi kakav neki rabe) ili na kraju glagola u drugome licu, izgovara se također kao njemačko sch ili sp, st, poput shiſsmiſs, ili kao što drugi pišu, siſsmiſs ili pak ſsiſsmiſs, Fledermaus, čitaj schischmisch; schuka, Hecht, stschuka; spital, Spital, ſpital, stala, Stall, ſtala; znas, du weißt, smasch; vidis, du siehest, widisch.</p><p>3. No u svakome drugome položaju, dakle kada nije riječ ni o jednome od gore spomenutih slučajeva, s ima osobit zvuk, Nijemcima nepoznat. Jednak je francuskome j, mađarskome zs, dalmatinskome x, češkome z i ćirilićnome ili ruskome ж, a najbolje ga se može izraziti</p>"
9,"<p>vrlo blagim njemačkim sch. Međutim, pri tome izgovoru valja paziti na to da jezik nepce gotovo uopće ne dotakne; npr. Sidov, Jude, čitaj vrlo blago schidow.</p><p>T ima uvijek njemački zvuk osim kada iza njega dolazi y jer se onda izgovara isto kao ch ili njemačko tsch; npr. hityen, geworfener, zvuči hitschen.</p><p>V zvuči kao njemačko W.</p><p>Y kada stoji samo znači i, und, pa se tako se i izgovara. Inače se to slovo u horvatskome uopće ne upotrebljava osim iza suglasnika d, g, l, n, t čiji se izgovor onda tim y ublažava kao što je već gore zasebno opisano kod svakoga od tih slova.</p><p>Napomena</p><p>Pri tome valja primijetiti da iako dy i gy imaju isti zvuk, a ty se izgovara jednako kao i ch, pri pisanju ne valja zamijeniti dy i gy te ty i ch kako se na taj način ne bi pogriješilo pri njihovu izvođenju od osnovnih riječi.</p><p>Z se kod Horvata izgovara kao blago, njemačko s, npr. kao u riječima unser Kayser.</p>"
10,"<p>Napomena</p><p>Mnogi u riječima u kojima bi se ispred k, p, t trebalo pisati sz običavaju izostaviti s i pisati samo z. Dakle umjesto deszka, Brett, pišu dezka, umjesto szpim, ich schlafe, zpim.</p><p>Horvati u svojem jeziku ne žele dvoglase iako se neki od njih često javljaju u njihovom izgovoru. Kako bi ih izbjegli, kada žele izraziti zvuk dvoglasa ai, ei, oi, ui, umjesto i, pišu slovo j koje se ipak izgovara kao i; npr. jaj, wehe; glej, sehe, glei, moj, mein, moi; chuj, höre, tschui itd.</p><p>Uporaba akcenatskih znakova u Horvata je različita. Neki ih upotrebljavaju u cijelosti, neki se koriste trima, no danas ih većina rabi dva, naime teški naglasak (accentum gravem), kojim se zvuk samoglasnika duži, i oštri naglasak (accentum acutum) kojim e, kao što je gore spomenuto, dobiva duboki zvuk.</p><p>Općenito se bez akcenatskih znakova ne može zato što mnoge riječi bez promjene slova, samo promjenom naglaska dobivaju drugo značenje. Dakle, kaže se dug, lang, ali dùg, eine Schuld. szad znači jetzt, szàd, eine Frucht; budi, znači seye du, budì, erwecket;</p>"
