Stranica,Tekst
1r,"SVAŠTA PO MALO iliti KRATKO SLOŽENJE IMENA I RIČI u ILIRSKI I NJEMAČKI
 JEZIK koje složi otac BLAŽ TADIJANOVIĆ franciskan taborski i sužanja cesarskih duhovni
 s[l]užbenik. U Magdeburgu štampano po Ivan[u] Misku Prüferu, 1761."
2r,"<p>PRIDGOVOR</p><p>Eto ti, veće jedanput na toliku molbu zadovolnost! Eto, opet velim, brate, ono dilo za koje sam od mlogih mlogo puta moljen bio! Eto ti, i opet govorim, ne onoliko koliko</p>"
2v,"<p>si ti rad bio imati, nego SVAŠTA PO MALO! Ako bi ti istinu hotio kazati, ja sam se mlogo usudio kada sam se ovo dilo načiniti podvatio, jere sam se usudio ono načiniti što nisam nikad znao i ono drugoga naučiti što nisam nikad sam učio. Zato se veoma bojim da namisto slave ne budem porugan i opsovan. Ali se ufam u tvoju dobrotu da mi nećeš za zlo primiti</p>"
3r,"<p>ako i najdeš gdigodir koju falinku. Metnio sam ja u ovoj knjižici dosta riči koje će se tebi viditi kakono nove i tuđe, ali su one prave ilirske. Zato uči se pravo svojim jezikom govoriti, a nemoj od drugoga jezika riči krasti. Zašto, znadeš sam da tuđe ukradeno opet valja povratiti i da se običaje reći: S tuđa konja u pol blata... Dakle, kada govoriš s svojim slavnim jezikom, ne-</p>"
3v,"<p>moj mišati tuđih riči govoreći: felćer, tišljar, šmit i ostalo, nego reci materinskim svojim jezikom: brijač, strugač, kovač, šilac, cipelar i ostalo.</p>"
4r,"<p>UBAVISTENJE</p><p>Budući da u ovoj knjižici jesu dva jezika i dvoja slova, i znadijući ja da će mlogi uzeti iste knjižice koji slova dobro ne poznaju. Zaradi toga, evo ovdi mećem velika i mala slova njemačka:</p><p>A B C D E F G H I J K L M N O P Q R S T U V W X Y Z</p><p>a b c d e f g h i j k ck l ll m n o p q r s ß t u v w x y z tz.</p>"
4v,"<p>Slova ova njemačka izgovaraju se kako i latinska kada se svako posebi izreče, ali u riči mlogo drugojačje običaju se izgovarati. Zato panti dobro ovo što ovdi mećem tolmačenje.</p><p>A, a: kako i u našemu govorenju, ali ako je ovako zlamenovano ä, onda se izgovori kako e.</p><p>B, b: kako latinsko b.</p><p>C, c: malo se kada piše samo, nego se piše zajedno c i k i izgovara se kakono dvostruk k. Kada se pak piše samo, i onda ima glas kako k, na priliku: Chriſtus, Iſukerſt.</p>"
5r,"<p>D, d: kako latinsko d.</p><p>E, e: na svrhi riči izgovara se i kadgod na početku kako e. Na priliku Friede, Ende – mir, svrha. Ali ima drugo osobito obsluženje e njemačko. Panti, dakle, dobro. </p><p>Kada za e slidi u ili i, onda se ima izreći kako aj; na priliku:</p><p>Euch, euch – vi ili vas, reci ajch, i ono ch ne reci kako k nego mekano; Ein: ajn – jedan; Freund – prijatel, reci frajnd; Freude – veselje, reci frajde, i tako ostalo.</p><p>F, f, ff: govori se kako f, osim samo ovo ima se paziti gdi su </p>"
5v,"<p>dva ff, ondi se ima oštro izgovoriti da se znade da su dva.</p><p>G, g: izgovara se kako ge.</p><p>H, h: gdi godir se nahodi, ondi valja da se i čuje glas njegov.</p><p>I, i, j: obdržaje svoj glas kako u našemu.</p><p>L, l, ll: kako i u našemu, samo gdi su dva ll, ondi valja da se izgovore dobro.</p><p>M, m; N, n: također, nego samo gdi su dva m ili n, valja da se čuju i dobro izreknu.</p><p>O, o: kako i latinsko ili naše o. Kada je pak ovako zlamenovano ö, onda se izgovori kako e.</p>"
6r,"<p>P, p; Q, q; R, r: svejedno kako i u našem jeziku.</p><p>S, s, ss: također. Samo ovo dobro zabiliži! Kada je st na početku riči, onda se izgovara oštro; i kada je na polak ali na svrhi riči, izgovara se mekano, na priliku: stark – jak, zerstöhrt – porušen, fest – tvrd. Dvi pridnje riči izgovaraju se oštro, a treća mekano. ß kako sz.</p><p>T, t: kako i latinsko.</p><p>U, u: kako i u latinskom, osim samo kada je prid njime ä ovakovo ili e, onda gubi svoj glas i postane kako latinski j.</p><p>Drugo, ako najdeš ü ovakovo, onda ga imaš izreći</p>"
6v,"<p>kako latinski i, na priliku: Mühe – muka ili trud, nemoj muhe nego kako da bi bilo reći ovako upisano mihe.</p><p>V, v: kako latinsko f.</p><p>W, w: kako v.</p><p>X, x: kako da bi reka iks, a ne kako u našemu.</p><p>Z, z: kako u našemu c, na priliku Zank – kavga, nemoj reći zank nego kako da bi ovako bilo upisano: Czank.</p><p>Ovdi jošt imaš zabiližiti dobro ovo što slidi.</p><p>Gdi najdeš ae na početku riči njemačke, kako na priliku u ovoj riči Aegypt, nemoj izreći Aegypt, nego reci Egipt, prem ako i nejma ove riči u ovoj knjižici.</p>"
7r,"<p>Drugo, gdi najdeš oe njemačko, kako na priliku u ovoj riči Oel – ulje, nemoj reći oel nego reci el.</p><p>Treće, gdi bude ue njemačko, kako u ovoj riči Uebel, nemoj reći uebel nego reci ibel.</p><p>Ako, dakle, misliš friško naučiti njemački, valja da paziš na ove članke: der, die, das; to hoće reći ovaj, ova, ovo ili taj, ta, to. Na priliku: čovik – der Mensch, žena – die Frau, olovo – das Bley.</p><p>Kada, dakle, hoćeš govoriti njemački, nemoj paziti na naš jezik jerbo mi mlogo nakraće govorimo nego Njemci. Na priliku, ti veliš Daj mi nož, a Njemac Gieb mir das</p>"
