Orth,Pos,VerbType,Participle,Gender,PronounType,Number,Case,inflectionType,animacy,person,adjectiveType,numeralType,tense,tenseType,voice,nounType,mood,infinitive,verbalAdverb,Fajl,Stranica,Brojka
-a,#glagol,#G_glavni,#G_trpni,#zenski,,#jednina,,,,,,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",90,89
-ka,#pridjev,,,#zenski,,#jednina,#vokativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-ka,#pridjev,,,#srednji,,#mnozina,#vokativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-ke,#pridjev,,,#zenski,,#jednina,#ablativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-ke,#pridjev,,,#zenski,,#mnozina,#vokativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-ko,#pridjev,,,#srednji,,#jednina,#vokativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-kog,#pridjev,,,#srednji,,#jednina,#akuzativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-kog,#pridjev,,,#srednji,,#jednina,#ablativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-ku,#pridjev,,,#zenski,,#jednina,#akuzativ,,,,#P_opisni,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",21,20
-o,#glagol,#G_glavni,#G_trpni,#srednji,,#jednina,,,,,,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",90,89
a,#glagol,#G_glavni,#G_trpni,#zenski,,#jednina,,,,,,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",55,54
a,#glagol,#G_glavni,#G_trpni,#zenski,,#jednina,,,,,,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",70,69
a,#glagol,#G_glavni,#G_trpni,#zenski,,#jednina,,,,,,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",80,79
a,#glagol,#G_glavni,#G_trpni,#zenski,,#jednina,,,,,,,,,,,,,,"Marijan Lanosović, Uvod u latinsko riči slaganje s nikima nimačkog jezika biližkama za korist slovinskih mladića složen (1776.)",87,86
a,#glagol,#G_pomocni,#G_particip,#zenski,,#jednina,#nominativ,,,,,,,,,,,,,"Josip Voltić, Grammatica illirica (1803.)",XXXVII,43
a,#glagol,#G_glavni,#G_particip,#zenski,,#jednina,#nominativ,,,,,,,,,,,,,"Josip Voltić, Grammatica illirica (1803.)",XXXIX,45
a,#glagol,#G_glavni,#G_particip,#zenski,,#jednina,#nominativ,,,,,,,,,,,,,"Josip Voltić, Grammatica illirica (1803.)",XL,46
Andrija,#imenica,,,#muski,,#jednina,#nominativ,#I_e_sklonidba,,,,,,,,#I_vlastita,,,,"Francesco M. Appendini, Grammatica della lingua Illirica (1808.)",34,57
